Country;Age;Sex;Asymptomatic;Mild;Hospitalised;Severely hospitalised;Fatal
Germany;64;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;64;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;65;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;65;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;66;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;66;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;67;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;67;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;68;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;68;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;69;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;69;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;70;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;70;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;71;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;71;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;72;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;72;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;73;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;73;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;74;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;74;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;75;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;75;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;76;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;76;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;77;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;77;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;78;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;78;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;79;F;0,1763173394952650000;0,5188935707489470000;0,2235172851252780000;0,0186330478908976000;0,0626387567396131000
Germany;79;M;0,0825422036121238000;0,4281749807439630000;0,2854764170178060000;0,0382515518100675000;0,1117756331838160000
Germany;80;F;0,1368846287826860000;0,4470395882729710000;0,2377375240192830000;0,0121416772482611000;0,1661965816767990000
Germany;80;M;0,0000000000000000000;0,1735063096268160000;0,1848782461147760000;0,0155858457596836000;0,1368790102369900000
